ticker,company_name,sector,years,usable_years,avg_authenticity_index,avg_theme_overlap,avg_theme_emphasis_similarity,avg_tone_alignment,coverage_for_index
BAC,Bank of America,Financials,9,9,0.8462888888888889,0.8518666666666667,0.8429333333333333,0.8414222222222222,1.0
PSX,Phillips 66,Energy,9,9,0.7648222222222222,0.7284111111111111,0.8357888888888889,0.6490444444444444,1.0
HAL,Halliburton,Energy,9,9,0.7167666666666667,0.9506222222222223,0.5096222222222223,0.7144666666666667,1.0
BLK,BlackRock,Financials,9,5,0.7163600000000001,0.4321111111111111,0.63716,0.8492444444444445,0.5555555555555556
JPM,JPMorgan Chase,Financials,9,8,0.7150624999999999,0.7037222222222224,0.6739125,0.6746111111111112,0.8888888888888888
TJX,TJX Companies,Consumer Discretionary,9,9,0.6987333333333333,0.5802666666666667,0.8256333333333333,0.6340111111111111,1.0
WFC,Wells Fargo,Financials,9,7,0.6878285714285715,0.6913666666666667,0.6138571428571428,0.40165555555555554,0.7777777777777778
MCD,McDonald's,Consumer Discretionary,9,7,0.6814714285714285,0.5432222222222223,0.6110428571428572,0.8337444444444445,0.7777777777777778
OXY,Occidental Petroleum,Energy,9,8,0.6754875,0.6049444444444445,0.6682125,0.7063666666666667,0.8888888888888888
XOM,ExxonMobil,Energy,9,8,0.6665,0.7777888888888889,0.41207499999999997,0.8322,0.8888888888888888
EOG,EOG Resources,Energy,9,7,0.6488142857142857,0.5802444444444445,0.5009571428571429,0.8345888888888889,0.7777777777777778
AMZN,Amazon,Consumer Discretionary,9,6,0.6481499999999999,0.5061888888888889,0.5218166666666667,0.7574777777777778,0.6666666666666666
SCHW,Charles Schwab,Financials,9,9,0.6457888888888889,0.6790333333333334,0.6474777777777778,0.5521444444444445,1.0
BMY,Bristol-Myers Squibb,Healthcare,9,8,0.6392375,0.7901333333333334,0.3826,0.7412111111111112,0.8888888888888888
IBM,IBM,Technology,9,5,0.6366799999999999,0.5061777777777778,0.34112,0.7959888888888889,0.5555555555555556
MRK,Merck,Healthcare,9,9,0.6306555555555556,0.8765555555555555,0.36873333333333336,0.7606777777777778,1.0
COP,ConocoPhillips,Energy,9,8,0.6282875,0.5926222222222222,0.5424,0.7952666666666667,0.8888888888888888
PFE,Pfizer,Healthcare,9,9,0.6270666666666667,0.8271666666666666,0.39663333333333334,0.7847333333333333,1.0
ABBV,AbbVie,Healthcare,9,7,0.6125142857142858,0.6543333333333333,0.33725714285714287,0.8349555555555556,0.7777777777777778
ORCL,Oracle,Technology,9,9,0.6084333333333334,0.8642111111111112,0.35415555555555556,0.6892222222222223,1.0
GS,Goldman Sachs,Financials,9,7,0.6077428571428571,0.5432333333333333,0.5801714285714284,0.46001111111111115,0.7777777777777778
JNJ,Johnson & Johnson,Healthcare,9,9,0.6034777777777778,0.7901444444444444,0.4447555555555555,0.5819555555555556,1.0
SLB,SLB,Energy,9,7,0.6029,0.5926,0.4001142857142857,0.8118777777777777,0.7777777777777778
CVX,Chevron,Energy,9,9,0.6008777777777777,0.6667,0.4886222222222222,0.7621777777777778,1.0
MDT,Medtronic,Healthcare,9,9,0.5887777777777778,0.7531111111111112,0.43668888888888885,0.6068888888888888,1.0
HD,Home Depot,Consumer Discretionary,9,8,0.5851,0.6913777777777779,0.3939625,0.6785444444444444,0.8888888888888888
GOOGL,Alphabet,Technology,9,9,0.5773444444444444,0.5185111111111111,0.5952333333333333,0.6805777777777778,1.0
VLO,Valero Energy,Energy,9,9,0.5738,0.7284,0.41596666666666665,0.6349777777777779,1.0
TMO,Thermo Fisher Scientific,Healthcare,9,9,0.5649222222222222,0.7901333333333334,0.26406666666666667,0.8667777777777778,1.0
LOW,Lowe's,Consumer Discretionary,9,2,0.54925,0.1111111111111111,0.5678,0.7813888888888889,0.2222222222222222
F,Ford Motor,Consumer Discretionary,9,9,0.5439888888888889,0.6296333333333334,0.4204555555555556,0.6863555555555556,1.0
MSFT,Microsoft,Technology,9,9,0.5379666666666666,0.7284222222222222,0.32478888888888885,0.6697444444444445,1.0
MS,Morgan Stanley,Financials,9,9,0.5306111111111111,0.7531111111111111,0.3047,0.6150444444444445,1.0
AXP,American Express,Financials,9,9,0.5288222222222223,0.5185222222222222,0.4251222222222222,0.8675444444444445,1.0
META,Meta Platforms,Technology,9,9,0.5285666666666667,0.7037111111111112,0.3509,0.594588888888889,1.0
UNH,UnitedHealth Group,Healthcare,9,4,0.525475,0.34568888888888893,0.2592,0.8111555555555555,0.4444444444444444
MPC,Marathon Petroleum,Energy,9,9,0.49822222222222223,0.5308666666666667,0.3702111111111111,0.7952222222222223,1.0
C,Citigroup,Financials,9,7,0.49461428571428573,0.41975555555555555,0.3707,0.7900222222222222,0.7777777777777778
AAPL,Apple,Technology,9,8,0.47973750000000004,0.5802777777777778,0.255525,0.6697333333333333,0.8888888888888888
TSLA,Tesla,Consumer Discretionary,9,9,0.4687222222222222,0.48151111111111106,0.3728,0.7225444444444444,1.0
CRM,Salesforce,Technology,9,9,0.4559444444444445,0.5926222222222222,0.2800777777777778,0.6191666666666666,1.0
SBUX,Starbucks,Consumer Discretionary,9,7,0.4549142857142857,0.48147777777777784,0.23985714285714285,0.6799222222222222,0.7777777777777778
LLY,Eli Lilly,Healthcare,9,6,0.43925,0.35802222222222224,0.2251,0.8170222222222222,0.6666666666666666
NKE,Nike,Consumer Discretionary,9,4,0.43625,0.2222333333333333,0.26039999999999996,0.8497555555555556,0.4444444444444444
ABT,Abbott Laboratories,Healthcare,9,4,0.4309,0.28395555555555557,0.1667,0.7630666666666667,0.4444444444444444
TGT,Target,Consumer Discretionary,9,9,0.4134,0.5555444444444445,0.1849777777777778,0.719588888888889,1.0
AVGO,Broadcom,Technology,9,1,0.3894,0.061733333333333335,0.1476,0.7324222222222222,0.1111111111111111
NVDA,NVIDIA,Technology,9,8,0.3424875,0.27778749999999997,0.21993999999999997,0.8765333333333333,0.8888888888888888
BRK.B,Berkshire Hathaway,Financials,9,9,0.24754444444444446,0.05092222222222223,0.20003333333333337,0.8777666666666667,1.0
INTC,Intel,Technology,9,0,,0.0,,0.8491222222222222,0.0
