ticker,company_name,sector,cik,year,document_type,source,filing_date,accession_number,filing_url,document_url,text_len,theme_categories,theme_counts_json,theme_counts_per_10k_json,tone_positive,tone_negative,tone_net,has_text,analyst_notes,innovation_per_10k,customer_focus_per_10k,employees_culture_per_10k,diversity_inclusion_per_10k,sustainability_environment_per_10k,community_social_impact_per_10k,integrity_ethics_trust_per_10k,health_safety_wellbeing_per_10k,financial_performance_growth_per_10k,total_theme_mentions_per_10k,dominant_theme,event_period
MSFT,Microsoft,Technology,789019,2016,DEF 14A proxy statement,SEC EDGAR,2016-10-18,0001193125-16-740758,https://www.sec.gov/Archives/edgar/data/789019/000119312516740758,https://www.sec.gov/Archives/edgar/data/789019/000119312516740758/d243670ddef14a.htm,292011,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 80, ""customer_focus"": 77, ""employees_culture"": 131, ""diversity_inclusion"": 81, ""sustainability_environment"": 20, ""community_social_impact"": 18, ""integrity_ethics_trust"": 205, ""health_safety_wellbeing"": 26, ""financial_performance_growth"": 919}","{""innovation"": 2.7396, ""customer_focus"": 2.6369, ""employees_culture"": 4.4861, ""diversity_inclusion"": 2.7739, ""sustainability_environment"": 0.6849, ""community_social_impact"": 0.6164, ""integrity_ethics_trust"": 7.0203, ""health_safety_wellbeing"": 0.8904, ""financial_performance_growth"": 31.4714}",151,62,0.4178,True,"downloaded on attempt 1. Clean text length: 292011. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",2.7396,2.6369,4.4861,2.7739,0.6849,0.6164,7.0203,0.8904,31.4714,53.3199,financial_performance_growth,pre_2020
MSFT,Microsoft,Technology,789019,2017,DEF 14A proxy statement,SEC EDGAR,2017-10-16,0001193125-17-310951,https://www.sec.gov/Archives/edgar/data/789019/000119312517310951,https://www.sec.gov/Archives/edgar/data/789019/000119312517310951/d461626ddef14a.htm,341925,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 66, ""customer_focus"": 91, ""employees_culture"": 199, ""diversity_inclusion"": 105, ""sustainability_environment"": 25, ""community_social_impact"": 11, ""integrity_ethics_trust"": 180, ""health_safety_wellbeing"": 27, ""financial_performance_growth"": 1067}","{""innovation"": 1.9302, ""customer_focus"": 2.6614, ""employees_culture"": 5.82, ""diversity_inclusion"": 3.0708, ""sustainability_environment"": 0.7312, ""community_social_impact"": 0.3217, ""integrity_ethics_trust"": 5.2643, ""health_safety_wellbeing"": 0.7896, ""financial_performance_growth"": 31.2057}",165,73,0.3866,True,"downloaded on attempt 1. Clean text length: 341925. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",1.9302,2.6614,5.82,3.0708,0.7312,0.3217,5.2643,0.7896,31.2057,51.7949,financial_performance_growth,pre_2020
MSFT,Microsoft,Technology,789019,2018,DEF 14A proxy statement,SEC EDGAR,2018-10-16,0001193125-18-300115,https://www.sec.gov/Archives/edgar/data/789019/000119312518300115,https://www.sec.gov/Archives/edgar/data/789019/000119312518300115/d588721ddef14a.htm,227714,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 79, ""customer_focus"": 86, ""employees_culture"": 134, ""diversity_inclusion"": 91, ""sustainability_environment"": 31, ""community_social_impact"": 13, ""integrity_ethics_trust"": 188, ""health_safety_wellbeing"": 24, ""financial_performance_growth"": 778}","{""innovation"": 3.4693, ""customer_focus"": 3.7767, ""employees_culture"": 5.8846, ""diversity_inclusion"": 3.9962, ""sustainability_environment"": 1.3614, ""community_social_impact"": 0.5709, ""integrity_ethics_trust"": 8.256, ""health_safety_wellbeing"": 1.054, ""financial_performance_growth"": 34.1657}",135,85,0.2273,True,"downloaded on attempt 1. Clean text length: 227714. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",3.4693,3.7767,5.8846,3.9962,1.3614,0.5709,8.256,1.054,34.1657,62.5348,financial_performance_growth,pre_2020
MSFT,Microsoft,Technology,789019,2019,DEF 14A proxy statement,SEC EDGAR,2019-10-16,0001193125-19-268531,https://www.sec.gov/Archives/edgar/data/789019/000119312519268531,https://www.sec.gov/Archives/edgar/data/789019/000119312519268531/d791036ddef14a.htm,248785,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 67, ""customer_focus"": 87, ""employees_culture"": 205, ""diversity_inclusion"": 134, ""sustainability_environment"": 33, ""community_social_impact"": 19, ""integrity_ethics_trust"": 234, ""health_safety_wellbeing"": 28, ""financial_performance_growth"": 829}","{""innovation"": 2.6931, ""customer_focus"": 3.497, ""employees_culture"": 8.24, ""diversity_inclusion"": 5.3862, ""sustainability_environment"": 1.3264, ""community_social_impact"": 0.7637, ""integrity_ethics_trust"": 9.4057, ""health_safety_wellbeing"": 1.1255, ""financial_performance_growth"": 33.3219}",179,70,0.4378,True,"downloaded on attempt 1. Clean text length: 248785. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",2.6931,3.497,8.24,5.3862,1.3264,0.7637,9.4057,1.1255,33.3219,65.7595,financial_performance_growth,pre_2020
MSFT,Microsoft,Technology,789019,2020,DEF 14A proxy statement,SEC EDGAR,2020-10-19,0001193125-20-272025,https://www.sec.gov/Archives/edgar/data/789019/000119312520272025,https://www.sec.gov/Archives/edgar/data/789019/000119312520272025/d31295ddef14a.htm,266479,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 114, ""customer_focus"": 90, ""employees_culture"": 205, ""diversity_inclusion"": 98, ""sustainability_environment"": 68, ""community_social_impact"": 28, ""integrity_ethics_trust"": 241, ""health_safety_wellbeing"": 43, ""financial_performance_growth"": 948}","{""innovation"": 4.278, ""customer_focus"": 3.3774, ""employees_culture"": 7.6929, ""diversity_inclusion"": 3.6776, ""sustainability_environment"": 2.5518, ""community_social_impact"": 1.0507, ""integrity_ethics_trust"": 9.0439, ""health_safety_wellbeing"": 1.6136, ""financial_performance_growth"": 35.575}",178,84,0.3588,True,"downloaded on attempt 1. Clean text length: 266479. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",4.278,3.3774,7.6929,3.6776,2.5518,1.0507,9.0439,1.6136,35.575,68.8609,financial_performance_growth,covid_2020_2021
MSFT,Microsoft,Technology,789019,2021,DEF 14A proxy statement,SEC EDGAR,2021-10-14,0001193125-21-298757,https://www.sec.gov/Archives/edgar/data/789019/000119312521298757,https://www.sec.gov/Archives/edgar/data/789019/000119312521298757/d189481ddef14a.htm,353635,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 181, ""customer_focus"": 104, ""employees_culture"": 357, ""diversity_inclusion"": 187, ""sustainability_environment"": 90, ""community_social_impact"": 35, ""integrity_ethics_trust"": 277, ""health_safety_wellbeing"": 39, ""financial_performance_growth"": 989}","{""innovation"": 5.1183, ""customer_focus"": 2.9409, ""employees_culture"": 10.0952, ""diversity_inclusion"": 5.2879, ""sustainability_environment"": 2.545, ""community_social_impact"": 0.9897, ""integrity_ethics_trust"": 7.8329, ""health_safety_wellbeing"": 1.1028, ""financial_performance_growth"": 27.9667}",253,110,0.3939,True,"downloaded on attempt 1. Clean text length: 353635. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",5.1183,2.9409,10.0952,5.2879,2.545,0.9897,7.8329,1.1028,27.9667,63.8794,financial_performance_growth,covid_2020_2021
MSFT,Microsoft,Technology,789019,2022,DEF 14A proxy statement,SEC EDGAR,2022-10-27,0001193125-22-270484,https://www.sec.gov/Archives/edgar/data/789019/000119312522270484,https://www.sec.gov/Archives/edgar/data/789019/000119312522270484/d318171ddef14a.htm,314638,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 182, ""customer_focus"": 126, ""employees_culture"": 234, ""diversity_inclusion"": 190, ""sustainability_environment"": 171, ""community_social_impact"": 24, ""integrity_ethics_trust"": 275, ""health_safety_wellbeing"": 37, ""financial_performance_growth"": 995}","{""innovation"": 5.7844, ""customer_focus"": 4.0046, ""employees_culture"": 7.4371, ""diversity_inclusion"": 6.0387, ""sustainability_environment"": 5.4348, ""community_social_impact"": 0.7628, ""integrity_ethics_trust"": 8.7402, ""health_safety_wellbeing"": 1.176, ""financial_performance_growth"": 31.6236}",262,119,0.3753,True,"downloaded on attempt 1. Clean text length: 314638. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",5.7844,4.0046,7.4371,6.0387,5.4348,0.7628,8.7402,1.176,31.6236,71.0022,financial_performance_growth,post_2021
MSFT,Microsoft,Technology,789019,2023,DEF 14A proxy statement,SEC EDGAR,2023-10-19,0001193125-23-259247,https://www.sec.gov/Archives/edgar/data/789019/000119312523259247,https://www.sec.gov/Archives/edgar/data/789019/000119312523259247/d356108ddef14a.htm,344004,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 247, ""customer_focus"": 124, ""employees_culture"": 232, ""diversity_inclusion"": 137, ""sustainability_environment"": 142, ""community_social_impact"": 32, ""integrity_ethics_trust"": 314, ""health_safety_wellbeing"": 47, ""financial_performance_growth"": 1033}","{""innovation"": 7.1801, ""customer_focus"": 3.6046, ""employees_culture"": 6.7441, ""diversity_inclusion"": 3.9825, ""sustainability_environment"": 4.1279, ""community_social_impact"": 0.9302, ""integrity_ethics_trust"": 9.1278, ""health_safety_wellbeing"": 1.3663, ""financial_performance_growth"": 30.0287}",286,182,0.2222,True,"downloaded on attempt 1. Clean text length: 344004. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",7.1801,3.6046,6.7441,3.9825,4.1279,0.9302,9.1278,1.3663,30.0287,67.09219999999999,financial_performance_growth,post_2021
MSFT,Microsoft,Technology,789019,2024,DEF 14A proxy statement,SEC EDGAR,2024-10-24,0001193125-24-242883,https://www.sec.gov/Archives/edgar/data/789019/000119312524242883,https://www.sec.gov/Archives/edgar/data/789019/000119312524242883/d858775ddef14a.htm,346024,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 410, ""customer_focus"": 161, ""employees_culture"": 177, ""diversity_inclusion"": 119, ""sustainability_environment"": 138, ""community_social_impact"": 18, ""integrity_ethics_trust"": 323, ""health_safety_wellbeing"": 46, ""financial_performance_growth"": 1081}","{""innovation"": 11.8489, ""customer_focus"": 4.6529, ""employees_culture"": 5.1153, ""diversity_inclusion"": 3.4391, ""sustainability_environment"": 3.9882, ""community_social_impact"": 0.5202, ""integrity_ethics_trust"": 9.3346, ""health_safety_wellbeing"": 1.3294, ""financial_performance_growth"": 31.2406}",262,162,0.2358,True,"downloaded on attempt 1. Clean text length: 346024. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",11.8489,4.6529,5.1153,3.4391,3.9882,0.5202,9.3346,1.3294,31.2406,71.4692,financial_performance_growth,post_2021
AAPL,Apple,Technology,320193,2016,DEF 14A proxy statement,SEC EDGAR,2016-01-06,0001193125-16-422528,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528/d79474ddef14a.htm,293179,innovation;customer_focus;employees_culture;diversity_inclusion;sustainability_environment;community_social_impact;integrity_ethics_trust;health_safety_wellbeing;financial_performance_growth,"{""innovation"": 61, ""customer_focus"": 61, ""employees_culture"": 121, ""diversity_inclusion"": 109, ""sustainability_environment"": 68, ""community_social_impact"": 8, ""integrity_ethics_trust"": 90, ""health_safety_wellbeing"": 8, ""financial_performance_growth"": 799}","{""innovation"": 2.0806, ""customer_focus"": 2.0806, ""employees_culture"": 4.1272, ""diversity_inclusion"": 3.7179, ""sustainability_environment"": 2.3194, ""community_social_impact"": 0.2729, ""integrity_ethics_trust"": 3.0698, ""health_safety_wellbeing"": 0.2729, ""financial_performance_growth"": 27.253}",70,60,0.0769,True,"downloaded on attempt 1. Clean text length: 293179. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth.",2.0806,2.0806,4.1272,3.7179,2.3194,0.2729,3.0698,0.2729,27.253,45.1943,financial_performance_growth,pre_2020
